rule_id,rule_set,description,smarts,rule_set_name,priority,max
1,1,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]",Glaxo,8,0
2,1,R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]",Glaxo,8,0
3,1,R3 Carbazides,O=CN=[N+]=[N-],Glaxo,8,0
4,1,R4 Sulphate esters,"COS(=O)O[C,c]",Glaxo,8,0
5,1,R5 Sulphonates,"COS(=O)(=O)[C,c]",Glaxo,8,0
6,1,R6 Acid anhydrides,C(=O)OC(=O),Glaxo,8,0
7,1,R7 Peroxides,OO,Glaxo,8,0
8,1,R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),Glaxo,8,0
9,1,R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1,Glaxo,8,0
10,1,R10 esters of HOBT,C(=O)Onnn,Glaxo,8,0
11,1,R11 Isocyanates & Isothiocyanates,"N=C=[S,O]",Glaxo,8,0
12,1,R12 Triflates,OS(=O)(=O)C(F)(F)F,Glaxo,8,0
13,1,R13 lawesson's reagent and derivatives,P(=S)(S)S,Glaxo,8,0
14,1,R14 phosphoramides,NP(=O)(N)N,Glaxo,8,0
15,1,R15 Aromatic azides,cN=[N+]=[N-],Glaxo,8,0
16,1,R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]",Glaxo,8,0
17,1,R17 acylhydrazide,[N;R0][N;R0]C(=O),Glaxo,8,0
18,1,"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]",Glaxo,8,0
19,1,R19 Phosphoranes,C=P,Glaxo,8,0
20,1,R20 Chloramidines,[Cl]C([C&R0])=N,Glaxo,8,0
21,1,R21 Nitroso,[N&D2](=O),Glaxo,8,0
22,1,R22 P/S Halides,"[P,S][Cl,Br,F,I]",Glaxo,8,0
23,1,R23 Carbodiimide,N=C=N,Glaxo,8,0
24,1,R24 Isonitrile,[N+]#[C-],Glaxo,8,0
25,1,R25 Triacyloximes,C(=O)N(C(=O))OC(=O),Glaxo,8,0
26,1,R26 Cyanohydrins,N#CC[OH],Glaxo,8,0
27,1,R27 Acyl cyanides,N#CC(=O),Glaxo,8,0
28,1,R28 Sulfonyl cyanides,S(=O)(=O)C#N,Glaxo,8,0
29,1,R29 Cyanophosphonates,P(OCC)(OCC)(=O)C#N,Glaxo,8,0
30,1,R30 Azocyanamides,[N;R0]=[N;R0]C#N,Glaxo,8,0
31,1,R31 Azoalkanals,[N;R0]=[N;R0]CC=O,Glaxo,8,0
32,1,I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],Glaxo,8,0
33,1,I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",Glaxo,8,0
34,1,I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],Glaxo,8,0
35,1,I4 Disulphides,SS,Glaxo,8,0
36,1,I5 Thiols,[SH],Glaxo,8,0
37,1,"I6 Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1",Glaxo,8,0
38,1,"I7 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH]),Glaxo,8,0
39,1,"I8 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH]),Glaxo,8,0
40,1,I9 Hydrazothiourea,N=NC(=S)N,Glaxo,8,0
41,1,I10 Thiocyanate,SC#N,Glaxo,8,0
42,1,I11 Benzylic quaternary Nitrogen,cC[N+],Glaxo,8,0
43,1,I12 Thioesters,"C[O,S;R0][C;R0](=S)",Glaxo,8,0
44,1,I13 Cyanamides,N[CH2]C#N,Glaxo,8,0
45,1,I14 Four membered lactones,C1(=O)OCC1,Glaxo,8,0
46,1,I15 Di and Triphosphates,P(=O)([OH])OP(=O)[OH],Glaxo,8,0
47,1,I16 Betalactams,N1CCC1=O,Glaxo,8,0
48,1,N1 Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1,Glaxo,8,0
49,1,N2 Polyenes,C=CC=CC=CC=C,Glaxo,8,0
50,1,N3 Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2,Glaxo,8,0
51,1,N4 Cytochalasin derivatives,O=C1NCC2CCCCC21,Glaxo,8,0
52,1,N5 Cycloheximide derivatives,O=C1CCCC(N1)=O,Glaxo,8,0
53,1,N6 Monensin derivatives,O1CCCCC1C2CCCO2,Glaxo,8,0
54,1,N7 Cyanidin derivatives,[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3,Glaxo,8,0
55,1,N8 Squalestatin derivatives,C12OCCC(O1)CC2,Glaxo,8,0
161,3,2halo_pyrazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7][#6][#6]1",BMS,7,0
162,3,2halo_pyrazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6;!$(c-N)][#7][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)]1",BMS,7,0
163,3,2halo_pyridazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#6][#7]1",BMS,7,0
164,3,2halo_pyridazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7]1",BMS,7,0
165,3,2halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)][#6][#6;!$(c-N)]1",BMS,7,0
166,3,2halo_pyridine_5EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6][#6;!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c=O);!$(c-N)]1",BMS,7,0
167,3,2halo_pyrimidine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#7][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",BMS,7,0
168,3,3halo_pyridazine_2EWG,"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1",BMS,7,0
169,3,3halo_pyridazine_4EWG,"[#7;R1]1[#6][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#7]1",BMS,7,0
170,3,4_pyridone_3_5_EWG,"[#7,#8,#16]1~[#6;H]~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6](=O)~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6;H]1",BMS,7,0
171,3,4halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O);!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6;!$(c=O);!$(c-N)]1",BMS,7,0
172,3,4halo_pyrimidine_2_6EWG,"[#7]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7;R1][#6]([F,Cl,Br,I])[#6][#6]1([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])",BMS,7,0
173,3,4halo_pyrimidine_5EWG,"[#7]1[#6][#7;R1][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",BMS,7,0
174,3,CH2_S#O_3_ring,"[CH2]1[O,S]C1",BMS,7,0
175,3,HOBT_ester,"O=C(-[!N])O[$(nnn),$([#7]-[#7]=[#7])]",BMS,7,0
176,3,NO_phosphonate,P(=O)ON,BMS,7,0
177,3,acrylate,[CH2]=[C;!$(C-N);!$(C-O)]C(=O),BMS,7,0
178,3,activated_4mem_ring,"[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1",BMS,7,0
179,3,activated_S#O_3_ring,"C1~[O,S]~[C,N,O,S]1[a,N,O,S]",BMS,7,0
180,3,activated_acetylene,"[$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))]C#[C;!$(C-N);!$(C-n)]",BMS,7,0
181,3,activated_diazo,"[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])=[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])",BMS,7,0
182,3,activated_vinyl_ester,"O=COC=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]",BMS,7,0
183,3,activated_vinyl_sulfonate,"O(-S(=O)(=O))C=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]",BMS,7,0
184,3,acyclic_imide,"[C,c][C;!R](=O)[N;!R][C;!R](=O)[C,c]",BMS,7,0
185,3,acyl_123_triazole,[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1,BMS,7,0
186,3,acyl_134_triazole,[#7]1~[#7]~[#6]~[#7](-C(=O)[!N])~[#6]1,BMS,7,0
187,3,acyl_activated_NO,"O=C(-[!N])O[$([#7;+]),$(N(C=[O,S,N])(C=[O,S,N]))]",BMS,7,0
188,3,acyl_cyanide,C(=O)-C#N,BMS,7,0
189,3,acyl_imidazole,"[C;!$(C-N)](=O)[#7]1[#6;H1,$([#6]([*;!R]))][#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1",BMS,7,0
190,3,acyl_pyrazole,"[C;!$(C-N)](=O)[#7]1[#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1",BMS,7,0
191,3,aldehyde,"[C,c][C;H1](=O)",BMS,7,0
192,3,alpha_dicarbonyl,C(=O)!@C(=O),BMS,7,0
193,3,alpha_halo_EWG,"[$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-])]-[CH,CH2]-[Cl,Br,I,$(O(S(=O)(=O)))]",BMS,7,0
194,3,alpha_halo_amine,"[F,Cl,Br,I,$(O(S(=O)(=O)))]-[CH,CH2;!$(C(F)F)]-[N,n]",BMS,7,0
195,3,alpha_halo_carbonyl,"C(=O)([CH,CH2][Cl,Br,I,$(O(S(=O)(=O)))])",BMS,7,0
196,3,alpha_halo_heteroatom,"[N,n,O,S;!$(S(=O)(=O))]-[CH,CH2;!$(C(F)(F))][F,Cl,Br,I,$(O(S(=O)(=O)))]",BMS,7,0
197,3,alpha_halo_heteroatom_tert,"[N,n,O,S;!$(S(=O)(=O))]-C([Cl,Br,I,$(O(S(=O)(=O)))])(C)(C)",BMS,7,0
198,3,anhydride,"[$(C(=O)),$(C(=S))]-[O,S]-[$(C(=O)),$(C(=S)),$(C(=[N;!R])),$(C(=N(-[C;X4])))]",BMS,7,0
199,3,aryl_phosphonate,P(=O)-[O;!R]-a,BMS,7,0
200,3,aryl_thiocarbonyl,a-[S;X2;!R]-[C;!R](=O),BMS,7,0
201,3,azide,"[$(N#[N+]-[N-]),$([N-]=[N+]=N)]",BMS,7,0
202,3,aziridine_diazirine,"[C,N]1~[C,N]~N~1",BMS,7,0
203,3,azo_amino,[N]=[N;!R]-[N],BMS,7,0
204,3,azo_aryl,c[N;!R;!+]=[N;!R;!+]-c,BMS,7,0
205,3,azo_filter1,[N;!R]=[N;!R]-[N]=[*],BMS,7,0
206,3,azo_filter2,[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)],BMS,7,0
207,3,azo_filter3,[N;!R]-[N;!R]-[N;!R],BMS,7,0
208,3,azo_filter4,a-N=N-[N;H2],BMS,7,0
209,3,bad_boron,"[B-,BH2,BH3,$(B(F)(F))]",BMS,7,0
210,3,bad_cations,"[C+,F+,Cl+,Br+,I+,Se+]",BMS,7,0
211,3,benzidine_like,c([N;!+])1ccc(c2ccc([N;!+])cc2)cc1,BMS,7,0
212,3,beta_lactone,"[#6,#15,#16]1(=O)~[#6]~[#6]~[#8,#16]1",BMS,7,0
213,3,betalactam,C1(=O)~[#6]~[#6]N1,BMS,7,0
214,3,betalactam_EWG,"C1(=O)~[#6]~[#6]N1([$(S(=O)(=O)[C,c,O&D2]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)[C,c,O&D2])])",BMS,7,0
215,3,bis_activated_aryl_ester,"O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1",BMS,7,0
216,3,bis_keto_olefin,"CC(=O)[$([C&H1]),$(C-F),$(C-Cl),$(C-Br),$(C-I)]=[$([C&H1]),$(C-F),$(C-Cl),$(C-Br),$(C-I)]C(=O)C",BMS,7,0
217,3,boron_warhead,"[C,c]~[#5]",BMS,7,0
218,3,branched_polycyclic_aromatic,a1(a2aa(a3aaaaa3)aa(a4aaaaa4)a2)aaaaa1,BMS,7,0
219,3,carbodiimide_iso#thio#cyanate,"N=C=[N,O,S]",BMS,7,0
220,3,carbonyl_halide,"O=C[F,Cl,Br,I]",BMS,7,0
221,3,contains_metal,"[$([Ru]),$([Rh]),$([#34]),$([Pd]),$([Sc]),$([Bi]),$([Sb]),$([Ag]),$([Ti]),$([Al]),$([Cd]),$([V]),$([In]),$([Cr]),$([Sn]),$([Mn]),$([La]),$([Fe]),$([Er]),$([Tm]),$([Yb]),$([Lu]),$([Hf]),$([Ta]),$([W]),$([Re]),$([Co]),$([Os]),$([Ni]),$([Ir]),$([Cu]),$([Zn]),$([Ga]),$([Ge]),$([#33]),$([Y]),$([Zr]),$([Nb]),$([Ce]),$([Pr]),$([Nd]),$([Sm]),$([Eu]),$([Gd]),$([Tb]),$([Dy]),$([Ho]),$([Pt]),$([Au]),$([Hg]),$([Tl]),$([Pb]),$([Ac]),$([Th]),$([Pa]),$([Mo]),$([U]),$([Tc]),$([Te]),$([Po]),$([At])]",BMS,7,0
222,3,crown_ether,"[$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18]),$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18]),$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18])]",BMS,7,0
223,3,cyano_phosphonate,"P(O[A,a])(O[A,a])(=O)C#N",BMS,7,0
224,3,cyanohydrin,"[C;X4](-[OH,NH1,NH2,SH])(-C#N)",BMS,7,0
225,3,diamino_sulfide,"[N,n]~[S;!R;D2]~[N,n]",BMS,7,0
226,3,diazo_carbonyl,"[$(N=N=C~C=O),$(N#N-C~C=O)]",BMS,7,0
227,3,diazonium,a[N+]#N,BMS,7,0
228,3,dicarbonyl_sulfonamide,"[$(N(-C(=O))(-C(=O))(-S(=O))),$(n([#6](=O))([#6](=O))([#16](=O)))]",BMS,7,0
229,3,disulfide_acyclic,[S;!R;X2]-[S;!R;X2],BMS,7,0
230,3,disulfonyliminoquinone,S(=O)(=O)N=C1C=CC(=NS(=O)(=O))C=C1,BMS,7,0
231,3,double_trouble_warhead,NC(C[S;D1])C([N;H1]([O;D1]))=O,BMS,7,0
232,3,flavanoid,O=C2CC(a3aaaaa3)Oa1aaaaa12,BMS,7,0
233,3,four_nitriles,C#N.C#N.C#N.C#N,BMS,7,0
234,3,gte_10_carbon_sb_chain,[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R],BMS,7,0
235,3,gte_2_N_quats,"[N,n;H0;+;!$(N~O);!$(n~O)].[N,n;H0;+;!$(N~O);!$(n~O)]",BMS,7,0
236,3,gte_2_free_phos,P([O;D1])=O.P([O;D1])=O,BMS,7,0
237,3,gte_2_sulfonic_acid,"[C,c]S(=O)(=O)[O;D1].[C,c]S(=O)(=O)[O;D1]",BMS,7,0
238,3,gte_3_COOH,C(=O)[O;D1].C(=O)[O;D1].C(=O)[O;D1],BMS,7,0
239,3,gte_3_iodine,[#53].[#53].[#53],BMS,7,0
240,3,gte_4_basic_N,"[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(Nc)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(N-c)]",BMS,7,0
241,3,gte_4_nitro,"[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)]",BMS,7,0
242,3,gte_5_phenolic_OH,a[O;D1].a[O;D1].a[O;D1].a[O;D1].a[O;D1],BMS,7,0
243,3,gte_7_aliphatic_OH,C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1],BMS,7,0
244,3,gte_7_total_hal,"[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I]",BMS,7,0
245,3,gte_8_CF2_or_CH2,"[CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0]",BMS,7,0
246,3,halo_5heterocycle_bis_EWG,"[#7,#8,#16]1[#6]([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])[#6]([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])[#7][#6]1([Cl,Br,I])",BMS,7,0
247,3,halo_acrylate,"[$([C;H2]),$([C&H1;$(C-F)]),$([C&H1;$(C-Cl)]),$([C&H1;$(C-Br)]),$([C&H1;$(CI)]),$(C(F)F),$(C(Cl)Cl),$(C(Br)Br),$(C(I)I),$(C(F)Cl),$(C(F)Br),$(C(F)I),$(C(Cl)Br),$(C(Br)I)](=[$([C&H1;$(C(-C(=O)))]),$(C(F)(C(=O))),$(C(Cl)(C(=O))),$(C(Br)(C(=O))),$(C(I)(C(=O))),$(C(C)(C(=O))),$(C(c)(C(=O)))])",BMS,7,0
248,3,halo_imino,"C(=[#7])([Cl,Br,I,$(O(S(=O)(=O)))])",BMS,7,0
249,3,halo_olefin_bis_EWG,"C([Cl,Br,I,$(O(S(=O)(=O)))])=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])",BMS,7,0
250,3,halo_phenolic_carbonyl,"C(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])",BMS,7,0
251,3,halo_phenolic_sulfonyl,"S(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])",BMS,7,0
252,3,halogen_heteroatom,"[!C;!c;!H][F,Cl,Br,I]",BMS,7,0
253,3,hetero_silyl,[Si]~[!#6],BMS,7,0
